Age,Salary,Bought Iphone 14
47,42923,0
44,47896,0
48,48286,0
52,45988,0
43,49193,1
43,52020,0
52,59430,1
48,50872,1
42,51287,1
47,49627,0
42,40406,1
42,49867,1
46,50301,0
35,62316,0
36,49038,0
42,51507,1
39,49826,0
46,44156,1
40,55714,0
37,53759,0
52,53955,1
43,45453,1
45,57013,0
37,42990,1
42,52934,0
45,60952,0
39,45047,1
46,47168,1
41,50498,1
43,47482,1
41,42246,1
54,50342,1
44,44688,0
39,52367,0
49,45402,1
38,57749,0
46,46083,1
35,48389,0
38,54067,0
45,43845,1
48,51137,1
45,56535,1
44,41962,1
43,50923,0
37,51299,1
41,53909,0
42,43815,1
50,43397,1
46,52609,0
36,51484,1
46,51252,1
43,51732,1
41,46599,1
48,51161,0
50,51465,0
49,46428,1
40,59328,0
43,52369,1
46,44043,0
49,53282,0
42,45126,0
44,53935,1
39,55792,0
39,45896,0
49,54816,0
51,52063,0
44,54110,0
50,59483,1
46,48773,1
41,46231,1
46,45552,1
52,45920,1
44,49614,0
52,51705,1
31,51383,0
49,54135,0
45,50065,1
43,57267,0
45,48676,1
35,63600,0
43,53128,0
46,45714,1
52,44645,1
42,52412,0
40,48882,1
42,53570,1
49,52366,0
46,49635,0
42,45766,0
47,42425,1
45,47767,1
49,54281,1
41,51070,0
43,43771,1
43,50865,1
37,51926,1
46,45580,1
46,50768,1
45,50291,1
43,44285,1
